StudentPerformance-dataset
Hours_Studied,Attendance,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Family_Income,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Exam_Score
23,84,High,No,7,73,Low,Low,Public,Positive,3,No,67
19,64,Medium,No,8,59,Low,Medium,Public,Negative,4,No,61
24,98,Medium,Yes,7,91,Medium,Medium,Public,Neutral,4,No,74
29,89,Medium,Yes,8,98,Medium,Medium,Public,Negative,4,No,71
19,92,Medium,Yes,6,65,Medium,Medium,Public,Neutral,4,No,70
19,88,Medium,Yes,8,89,Medium,Medium,Public,Positive,3,No,71
29,84,Low,Yes,7,68,Low,Low,Private,Neutral,2,No,67
25,78,High,Yes,6,50,Medium,High,Public,Negative,2,No,66
17,94,High,No,6,80,High,Medium,Private,Neutral,1,No,69
23,98,Medium,Yes,8,71,Medium,High,Public,Positive,5,No,72
17,80,High,No,8,88,Medium,Medium,Private,Neutral,4,No,68
17,97,High,Yes,6,87,Low,Low,Private,Neutral,2,No,71
21,83,Medium,Yes,8,97,Low,Medium,Public,Positive,4,No,70
9,82,Medium,Yes,8,72,Medium,Medium,Private,Positive,3,No,66
10,78,High,Yes,8,74,Medium,Low,Private,Neutral,4,No,65
17,68,Medium,No,8,70,Medium,Medium,Private,Positive,4,No,64
14,60,Low,Yes,10,65,Low,High,Private,Positive,3,No,60
22,70,Medium,Yes,6,82,Medium,Low,Public,Neutral,3,No,65
15,80,Medium,Yes,9,91,Low,Low,Public,Positive,2,No,67
12,75,High,Yes,7,58,Medium,Medium,Private,Positive,4,No,66
29,78,Medium,No,5,99,High,High,Public,Negative,1,No,69
19,99,High,No,6,84,Medium,Medium,Public,Neutral,3,No,72
20,74,High,No,8,89,Low,Medium,Public,Negative,2,No,66
11,78,Medium,Yes,8,100,High,Low,Public,Neutral,3,No,66
17,65,High,Yes,5,75,Medium,Low,Public,Positive,3,No,63
21,62,Low,Yes,6,54,High,High,Public,Positive,3,No,64
13,91,Medium,No,6,90,Medium,High,Public,Negative,2,Yes,65
22,83,High,Yes,6,94,Medium,High,Public,Neutral,2,No,71
16,90,Medium,No,4,58,Medium,Low,Public,Neutral,3,No,66
18,66,High,No,4,51,Low,Low,Private,Neutral,2,No,64
16,83,Medium,No,6,57,Medium,High,Public,Positive,4,Yes,63
31,70,High,Yes,7,66,Medium,High,Public,Negative,3,No,69
20,69,Medium,Yes,8,96,Medium,Medium,Public,Positive,3,No,67
14,60,Medium,No,5,50,Medium,Medium,Public,Neutral,3,No,61
25,65,Medium,No,5,90,Medium,Medium,Public,Positive,3,No,68
13,72,Medium,No,6,93,Low,Low,Public,Negative,3,No,61
21,65,Low,Yes,7,91,Low,Medium,Public,Positive,3,No,64
8,99,Medium,No,9,54,Low,Low,Public,Neutral,5,No,67
12,72,Medium,Yes,8,84,Medium,Low,Public,Positive,5,No,63
21,65,Medium,Yes,6,98,Low,Medium,Public,Negative,4,No,64
24,68,Medium,No,8,56,Low,High,Public,Neutral,1,No,67
21,84,Medium,Yes,6,52,Low,Medium,Public,Neutral,2,Yes,65
19,63,High,No,7,94,Medium,Medium,Private,Positive,3,No,64
18,94,High,Yes,7,82,Medium,Medium,Private,Negative,2,Yes,70
11,98,Medium,Yes,9,82,Low,Medium,Private,Positive,3,No,68
16,70,Medium,Yes,8,98,Medium,Medium,Public,Positive,3,No,65
17,78,Medium,Yes,6,88,Medium,Medium,Private,Positive,3,No,68
26,61,Low,Yes,6,70,Medium,Low,Public,Positive,3,No,64
22,86,Medium,Yes,7,72,Low,Low,Public,Positive,2,No,68
9,77,Medium,No,5,57,Medium,Medium,Public,Neutral,3,No,63
22,71,Medium,Yes,7,65,Low,Medium,Public,Positive,4,No,64
18,68,Medium,No,7,72,Medium,Medium,Public,Neutral,3,No,64
16,86,Medium,Yes,8,63,Medium,Medium,Public,Positive,4,No,67
24,77,Low,No,8,96,Medium,Medium,Public,Neutral,3,No,67
26,67,High,Yes,7,51,Low,High,Private,Neutral,4,Yes,66
26,88,High,Yes,5,79,Medium,Low,Private,Positive,4,No,72
15,83,High,No,5,89,Low,Medium,Public,Neutral,2,Yes,65
18,94,Medium,Yes,6,87,High,Medium,Public,Positive,4,No,71
22,65,Low,No,8,82,Medium,Medium,Public,Positive,1,No,66
26,91,Low,Yes,8,71,Medium,Low,Private,Neutral,3,No,68
17,87,Medium,No,7,96,Medium,High,Public,Negative,5,No,70
19,65,Medium,Yes,10,66,Low,Low,Public,Positive,3,No,62
13,88,High,Yes,9,88,High,Low,Private,Negative,4,No,68
13,78,High,Yes,9,96,High,Low,Public,Neutral,3,No,67
25,98,High,Yes,8,56,Medium,Medium,Private,Neutral,3,No,71
28,66,High,Yes,8,97,Medium,Medium,Public,Neutral,2,No,68
20,86,Medium,Yes,8,89,Medium,Low,Public,Negative,3,No,69
26,75,High,Yes,4,81,High,Medium,Private,Positive,2,No,70
22,98,High,No,5,69,Low,Low,Public,Negative,4,No,69
16,73,Medium,No,7,95,Medium,Low,Public,Negative,4,No,65
22,98,Low,Yes,7,52,Medium,Medium,Public,Positive,3,No,70
29,96,Low,Yes,7,72,Medium,Low,Public,Positive,3,No,71
20,71,Medium,Yes,7,88,Medium,Low,Public,Neutral,4,No,65
29,92,Medium,No,4,91,Medium,Medium,Public,Negative,1,No,72
4,100,High,Yes,8,60,High,Medium,Private,Positive,4,No,69
25,70,Medium,No,7,52,Medium,Medium,Public,Positive,3,No,66
21,77,Medium,Yes,7,90,Medium,Medium,Private,Neutral,3,No,68
